name,inputData,displacement,replaceNan,removeMean,FFT,#RNN,sizeRNN,bidirectional,#FC,numFC,Dropout,Custom_loss,xyDisplacement,Accuracy,N4_Acc,Q4_Acc,T4_Acc,Q4H7_Acc,Custom_Acc,Testing_Metric
126,ratioNorm,1,1,0,1,4,32,1,1,32,0.2,0,0,0.5724,0.7167,0.5571,0.256,0.613,0.4638,3.2489
127,ratioNorm,1,1,0,1,2,16,1,2,32,0.2,0,0,0.5724,0.7081,0.5627,0.3312,0.5319,0.4785,3.209
128,ratioNorm,1,1,0,1,3,16,1,2,32,0.2,0,0,0.5694,0.7192,0.5031,0.3399,0.5984,0.4785,3.2397
129,ratioNorm,1,1,0,1,4,16,1,2,32,0.2,0,0,0.5717,0.7111,0.5491,0.2821,0.6077,0.4702,3.1943
130,ratioNorm,1,1,0,1,2,32,1,2,32,0.2,0,0,0.5759,0.7643,0.5186,0.3497,0.4801,0.4679,3.4297
131,ratioNorm,1,1,0,1,3,32,1,2,32,0.2,0,0,0.5753,0.7364,0.5391,0.3061,0.5585,0.4695,3.2894
132,ratioNorm,1,1,0,1,4,32,1,2,32,0.2,0,0,0.573,0.7516,0.4938,0.2952,0.613,0.464,3.3363
133,ratioNorm,1,1,0,1,2,16,1,3,32,0.2,0,0,0.5702,0.707,0.5261,0.3791,0.5386,0.4879,3.2117
134,ratioNorm,1,1,0,1,3,16,1,3,32,0.2,0,0,0.5639,0.7086,0.5323,0.2102,0.6835,0.4513,3.2007
135,ratioNorm,1,1,0,1,4,16,1,3,32,0.2,0,0,0.5694,0.6868,0.5733,0.3192,0.5585,0.48,3.1097
136,ratioNorm,1,1,0,1,2,32,1,3,32,0.2,0,0,0.5656,0.7334,0.5037,0.3268,0.5492,0.465,3.4154
137,ratioNorm,1,1,0,1,3,32,1,3,32,0.2,0,0,0.5711,0.6989,0.6081,0.256,0.5412,0.463,3.2048
138,ratioNorm,1,1,0,1,4,32,1,3,32,0.2,0,0,0.5724,0.7481,0.5398,0.3965,0.3963,0.4746,3.3292
139,ratioNorm,1,1,0,1,2,16,1,1,64,0.2,0,0,0.5646,0.7451,0.4447,0.3366,0.6263,0.4678,3.3078
140,ratioNorm,1,1,0,1,3,16,1,1,64,0.2,0,0,0.5614,0.7304,0.4578,0.3573,0.5891,0.4711,3.2537
141,ratioNorm,1,1,0,1,4,16,1,1,64,0.2,0,0,0.5774,0.7299,0.5168,0.3203,0.621,0.4803,3.2352
142,ratioNorm,1,1,0,1,2,32,1,1,64,0.2,0,0,0.5639,0.7557,0.459,0.2985,0.609,0.4545,3.3161
143,ratioNorm,1,1,0,1,3,32,1,1,64,0.2,0,0,0.5612,0.6837,0.5677,0.3322,0.5053,0.4726,3.205
144,ratioNorm,1,1,0,1,4,32,1,1,64,0.2,0,0,0.5694,0.701,0.5484,0.2549,0.6529,0.4672,3.1876
145,ratioNorm,1,1,0,1,2,16,1,2,64,0.2,0,0,0.5513,0.7005,0.5211,0.2745,0.5625,0.4487,3.2327
146,ratioNorm,1,1,0,1,3,16,1,2,64,0.2,0,0,0.5694,0.7212,0.5441,0.2876,0.5691,0.4642,3.3216
147,ratioNorm,1,1,0,1,4,16,1,2,64,0.2,0,0,0.5692,0.7212,0.536,0.3105,0.5572,0.4686,3.2281
148,ratioNorm,1,1,0,1,2,32,1,2,64,0.2,0,0,0.5583,0.7628,0.4509,0.4085,0.4348,0.4619,3.317
149,ratioNorm,1,1,0,1,3,32,1,2,64,0.2,0,0,0.5682,0.7202,0.5031,0.3192,0.613,0.4732,3.2685
150,ratioNorm,1,1,0,1,4,32,1,2,64,0.2,0,0,0.5566,0.742,0.4584,0.3878,0.4867,0.4642,3.5069
151,ratioNorm,1,1,0,1,2,16,1,3,64,0.2,0,0,0.5597,0.7182,0.4938,0.3192,0.5785,0.4633,3.2553
152,ratioNorm,1,1,0,1,3,16,1,3,64,0.2,0,0,0.5545,0.7126,0.5385,0.3431,0.4322,0.4565,3.3186
153,ratioNorm,1,1,0,1,4,16,1,3,64,0.2,0,0,0.5633,0.7299,0.5745,0.2451,0.4907,0.4415,3.3409
154,ratioNorm,1,1,0,1,2,32,1,3,64,0.2,0,0,0.5614,0.6964,0.5062,0.3399,0.5957,0.4766,3.2256
155,ratioNorm,1,1,0,1,3,32,1,3,64,0.2,0,0,0.5677,0.7324,0.5553,0.2745,0.5199,0.4536,3.4292
156,ratioNorm,1,1,0,1,4,32,1,3,64,0.2,0,0,0.5768,0.6974,0.6019,0.3736,0.4548,0.4907,3.1849
157,ratioNorm,1,1,0,1,2,16,1,1,128,0.2,0,0,0.5772,0.7258,0.5335,0.3736,0.5293,0.4879,3.2101
158,ratioNorm,1,1,0,1,3,16,1,1,128,0.2,0,0,0.5764,0.7076,0.5957,0.2876,0.5439,0.4733,3.1827
159,ratioNorm,1,1,0,1,4,16,1,1,128,0.2,0,0,0.5707,0.6989,0.5143,0.3508,0.6237,0.4892,3.1622
160,ratioNorm,1,1,0,1,2,32,1,1,128,0.2,0,0,0.5741,0.7537,0.5236,0.3279,0.512,0.466,3.3309
161,ratioNorm,1,1,0,1,3,32,1,1,128,0.2,0,0,0.5652,0.7522,0.4236,0.3922,0.5891,0.477,3.316
162,ratioNorm,1,1,0,1,4,32,1,1,128,0.2,0,0,0.5781,0.7324,0.518,0.3017,0.6396,0.4773,3.2617
163,ratioNorm,1,1,0,1,2,16,1,2,128,0.2,0,0,0.558,0.7319,0.5012,0.3083,0.5279,0.4525,3.2668
164,ratioNorm,1,1,0,1,3,16,1,2,128,0.2,0,0,0.5684,0.7395,0.4646,0.3725,0.5811,0.4786,3.23
165,ratioNorm,1,1,0,1,4,16,1,2,128,0.2,0,0,0.566,0.6959,0.5807,0.2277,0.6064,0.4562,3.1241
166,ratioNorm,1,1,0,1,2,32,1,2,128,0.2,0,0,0.5772,0.703,0.6286,0.2102,0.5851,0.46,3.2964
167,ratioNorm,1,1,0,1,3,32,1,2,128,0.2,0,0,0.5593,0.6913,0.6062,0.1928,0.5598,0.4401,3.2621
168,ratioNorm,1,1,0,1,4,32,1,2,128,0.2,0,0,0.5702,0.7243,0.5689,0.2255,0.5891,0.4511,3.3787
169,ratioNorm,1,1,0,1,2,16,1,3,128,0.2,0,0,0.5559,0.7111,0.4882,0.3704,0.5199,0.4697,3.2167
170,ratioNorm,1,1,0,1,3,16,1,3,128,0.2,0,0,0.5622,0.7623,0.4435,0.3344,0.5691,0.4569,3.2763
171,ratioNorm,1,1,0,1,4,16,1,3,128,0.2,0,0,0.5709,0.7653,0.4689,0.281,0.633,0.4562,3.332
172,ratioNorm,1,1,0,1,2,32,1,3,128,0.2,0,0,0.5667,0.6929,0.5963,0.3083,0.488,0.4691,3.16
173,ratioNorm,1,1,0,1,3,32,1,3,128,0.2,0,0,0.57,0.6792,0.6019,0.2778,0.5718,0.4739,3.2135
174,ratioNorm,1,1,0,1,4,32,1,3,128,0.2,0,0,0.5635,0.7055,0.5043,0.2821,0.6609,0.4669,3.1514
175,ratioNorm,1,1,0,1,2,16,1,1,256,0.2,0,0,0.5667,0.7552,0.4944,0.2952,0.5585,0.4536,3.3477
176,ratioNorm,1,1,0,1,3,16,1,1,256,0.2,0,0,0.5648,0.6868,0.5851,0.2625,0.5705,0.4633,3.1095
177,ratioNorm,1,1,0,1,4,16,1,1,256,0.2,0,0,0.5783,0.7319,0.5137,0.2952,0.6596,0.4773,3.2453
178,ratioNorm,1,1,0,1,2,32,1,1,256,0.2,0,0,0.565,0.7349,0.4764,0.4052,0.504,0.4793,3.2653
