,name,model_unique_name,acc_OTI,distance_P14,distance_OT3,synthetic_EC50_P14,synthetic_EC50_OT3,composite_score_distance,composite_score_syntheticEC50
588,neat-sweep-589,run_079b9da8513ec2260f8da319009a59cf,0.5526483058929442,0.9471327494229138,0.19002304431212053,0.8204137180185095,0.32755843335439183,1.0645622295664576,0.990200350532654
589,splendid-sweep-590,run_2e6c52a896aea1685247a32d3e366803,0.08466283480326334,0.3042683251010341,,0.24164398475775753,0.39638344914718754,,1.02633024905136
590,rich-sweep-591,run_72f7252740d4a4697b59663f53032263,0.5696662267049153,0.5505261325602708,0.8402607248960883,0.4395391036109609,0.19448831332912198,1.0928422872825951,0.6451414450049843
591,good-sweep-592,run_e14a98098634d7875dcbe3707647f1b6,0.6249733765920003,0.7013509825158368,0.3921053941187831,0.6121393576483399,0.25301642451042256,0.8867270205862577,0.7611680974127636
592,effortless-sweep-593,run_951a245dc0b7ecfb8b1fb3eedc6e5803,0.1791107654571533,0.8633665861616384,,0.8242605697695522,0.7307801642451047,,1.3737919313779907
593,royal-sweep-594,run_9fe0012603711832a0c1a50d199710e0,0.711763302485148,0.5630672201730298,0.674971761544345,0.4569951007076763,0.20004737839545372,0.9250470080541462,0.5761457015963769
594,frosty-sweep-595,run_473475771fecd9cdc3cb6e31d755449c,0.5322273572285969,0.7191255230272819,0.3735213279411708,0.6544184358555626,0.14840492735312585,0.9356660438540774,0.8179845701330009
595,trim-sweep-596,run_2bfb4081d05d7605446fcef01522bc3a,0.5407361189524332,0.29460864899207806,0.6153274981469957,0.2247323534748693,0.17102021478205975,0.8224022729003441,0.5391436329934065
596,clear-sweep-597,run_cac09564a789e10ef826a39b22e8cd14,,0.4910317006574929,0.6522051508284065,0.35998911268372424,0.5216835123183827,,
597,fluent-sweep-598,run_b451529feae3a98ba0a4702bf7cdf138,,0.9141647192033768,0.4668142571822656,0.7747958628198154,0.5606285533796584,,
598,atomic-sweep-599,run_c6075f5b41a4e7c8fe3495291b12ca7f,0.26334842046101886,0.4624731706133045,0.4370998329811885,0.4357285429141718,0.16062855337965948,0.9734440133703538,0.8708136683058123
599,vague-sweep-600,run_329383199919ac27e50a9e435023a8e0,0.9049137433369953,0.6301793538605871,0.4067413378648761,0.5317909635274912,0.18892924826279195,0.7560462486954347,0.5723087330670605
600,drawn-sweep-601,run_b8b05d6b062148afeca9204894d2cc90,,,,0.8469787697332617,0.7069962097283639,,
601,royal-sweep-602,run_64a95d7dd52c1534027a386b8687e466,0.36290168762207026,0.8044301995901533,0.6178591928108819,0.6790600616947925,0.19047694251421407,1.1978114157864646,0.9504200611589092
602,fearless-sweep-603,run_f99b28e7acb2b5b6be45e9ee8809076a,,,,,,,
603,whole-sweep-604,run_f6a6d06502a1453b7af62169093b9f65,,0.2024788767315311,,0.1909090909090918,0.3004264055590642,,
604,dutiful-sweep-605,run_8f0425f88ce4aa5d7b97e1aa2374d9a7,0.41055083274841303,0.5202450382371802,0.498587808038721,0.4852295409181651,0.1624921036007571,0.9309645658717902,0.7805778064266506
605,gentle-sweep-606,run_1f81871bfd59e039984d1daecb894c27,,0.441201350460509,0.7182426957205819,0.3738885864634378,0.1226310802274165,,
606,devout-sweep-607,run_9f976b7afa50d33fab0441f91439d624,0.49649000167846674,0.6311615320519448,0.14444736997826296,0.5602431500635111,0.4031111813013265,0.8202147527602425,0.8543379484097537
607,rosy-sweep-608,run_f0cce13df4c13f39bb3a90c9cc0a800e,0.5407361189524332,0.37709457987585093,,0.2830883687171126,0.1450568540745431,,0.558662534856055
608,stellar-sweep-609,run_7e91a6d6afad069a6294268b82df94f4,0.32631357510884595,0.44277954963550714,0.6373922394427629,0.3948648158229003,0.14407770056854083,1.0277042354490458,0.7940591953114048
609,drawn-sweep-610,run_8a79f68b589a91ef0f9bc4062fb911f0,0.24547974268595374,0.9480332200595729,0.160301967752409,0.8472328071130475,0.4108180669614657,1.2221965987103185,1.2065967562893016
610,helpful-sweep-611,run_3b9dc4c9bcac725294193db0884af1fc,0.6071046988169352,0.7689448069240883,0.5042562807028609,0.6337325349301407,0.2933512318382826,0.9999586143513827,0.8012731049659355
611,fancy-sweep-612,run_fc1bfac653531e205560595699f15881,0.35183986028035474,0.7484688620167619,0.34807269136389424,0.6421520595173306,0.20478521794061835,1.0495102679837685,0.9350977594619323
612,tough-sweep-613,run_e22688275c59b45dc90a589d1368d574,0.6266752878824868,0.8092950823962264,0.27266407652965985,0.7139720558882253,0.1690619077700574,0.9320276657364368,0.8232310525762099
