,name,model_unique_name,acc_OTI,distance_OTI,distance_P14,distance_OT3,synthetic_EC50_OTI,synthetic_EC50_P14,synthetic_EC50_OT3,composite_score_accuracy,composite_score_distance,composite_score_syntheticEC50
50,pious-sweep-51,run_ce6ed88217cdf5b2291d0d33c94d91a2,0.4304250989641464,0.536268878961923,,0.32274162981680404,0.6309655883363608,0.8021956087824353,0.4280901242366816,,,1.1067504338754286
51,absurd-sweep-52,run_3b04a50e69b760109ce5a4a99cfec242,,,,,,,,,,
52,light-sweep-53,run_7f7bdec4add490ca0bcad4bf87f2386c,0.49059456870669427,0.45177621782599453,,0.5152242577384715,0.32221294978155274,0.336291054255127,0.1533375447462636,,,0.4903317864546073
53,mild-sweep-54,run_82f12195f19b9d127837ed07c45ad32f,0.7513294106438049,0.23990640289300186,,0.3906506632975366,0.30422659663246626,0.4733986572309927,0.6503965747174855,,,0.8600440774581951
54,quiet-sweep-55,run_8fbf654b13b7293e92d37f28fb96377a,0.5386089483896893,0.3965113805573282,,0.38894504106127614,0.40087379117372895,0.5369080021774643,0.4469011019863823,,,0.8054133064513134
55,splendid-sweep-56,run_a9f9d1b372171f603b4096da73325a8a,0.42434741201854903,0.5297170814720275,,0.7457991156032852,0.3218987776741462,0.49397568499364947,0.1728223485646104,,,0.6144089554982433
56,deft-sweep-57,run_97eed736a0a68865a02d58fb727428a7,0.583584058852423,0.424547968517337,,0.45495893872394233,0.5848608315742965,0.8028851388132834,0.6419175966870213,,,1.1826854777891898
57,glad-sweep-58,run_5e197610517e3abd3a99fddc5e602e00,,,,,,,,,,
58,sleek-sweep-59,run_a4510b8ff412c3f5422689bd34d862d0,0.587838411331177,0.34805360561582643,0.9719651605879189,0.5504106127605819,0.24846104756762025,0.13632734530938265,0.06158489506563047,1.1906071103475682,1.1699612935556267,0.2900185106812109
59,magic-sweep-60,run_66aa2d4c7bb7b481255dbb9ca1a0b184,,,,0.5428932406822491,0.031328849835549746,0.667700961712938,,,,
60,prime-sweep-61,run_2486cc184b07e44e91619df430ea336f,0.3392592271169028,0.5217613273771542,,0.2889450410612771,0.5233223700358348,0.5086009798584653,0.2969748017126438,,,0.7878675602822967
61,golden-sweep-62,run_ca24218f06904cae5f09622064b712db,0.4589904830569314,0.4808764092746226,,0.40555906506633,0.2964508369741299,0.4480312103066601,0.1541236751596827,,,0.5588999654645187
62,trim-sweep-63,run_75c5872a96eed77ec5d0218ff8f96d31,0.88321632430667,0.14133163156775172,,0.5151610865445367,0.22988562171714785,0.5467428778806026,0.7567487892187839,,,0.9614800588517364
63,misty-sweep-64,run_58d79ff33a4ee9bd6bcb63e4e96602d2,0.29246049835568394,0.6007657945118061,,0.6576121288692361,0.37852830003436216,0.2988023952095813,0.24059802063592264,,,0.5389378005334297
64,lively-sweep-65,run_33f7c24c9fd83102d9d6bfb7b7445dc3,,,,,,,,,,
65,radiant-sweep-66,run_36d781e09dd22102be00524466fca135,0.49606457210722443,0.48683258881089136,,0.2634870499052439,0.5515585881890921,0.7414443839593545,0.17518073980487536,,,0.9405556561461925
66,absurd-sweep-67,run_e9ebd2152c4ea2c3cdb511eea675443f,0.23168334506806887,0.5821740055307381,,0.7130132659507267,0.4989740317117483,0.562819814915624,0.45908612339439786,,,0.8811931099807978
67,solar-sweep-68,run_4b4f00713c470e00fb2bb2050cb4e569,0.5483333042689734,0.38536481599659667,,0.2476942514213521,0.3035589809042283,0.36982398838686265,0.1550221099178791,,,0.5029410421086858
68,dashing-sweep-69,run_ed575dd8df97499029160784394d382a,0.48877151807149266,0.4569240587109127,,0.6826279216677201,0.3145550046634933,0.2151878062057707,0.11734400224608577,,,0.3987734416452931
